identificacion,nombre,grado,grupo,fechaNacimiento,direccion,telefono,email,padre_nombre,padre_telefono,padre_email,padre_ocupacion,madre_nombre,madre_telefono,madre_email,madre_ocupacion,tutor_nombre,tutor_telefono,tutor_email,tutor_parentesco
T260001,Estudiante Prueba 01,6,A,2015-01-01,Calle Prueba #1,3100000001,estudiante01@demo.colegio.local,Padre Prueba 01,3110000001,padre01@familia.local,Empleado,Madre Prueba 01,3120000001,madre01@familia.local,Hogar,,,,
T260002,Estudiante Prueba 02,7,B,2014-02-02,Calle Prueba #2,3100000002,estudiante02@demo.colegio.local,Padre Prueba 02,3110000002,padre02@familia.local,Empleado,Madre Prueba 02,3120000002,madre02@familia.local,Hogar,,,,
T260003,Estudiante Prueba 03,8,C,2013-03-03,Calle Prueba #3,3100000003,estudiante03@demo.colegio.local,Padre Prueba 03,3110000003,padre03@familia.local,Empleado,Madre Prueba 03,3120000003,madre03@familia.local,Hogar,,,,
T260004,Estudiante Prueba 04,9,A,2012-04-04,Calle Prueba #4,3100000004,estudiante04@demo.colegio.local,Padre Prueba 04,3110000004,padre04@familia.local,Empleado,Madre Prueba 04,3120000004,madre04@familia.local,Hogar,Tutor Prueba 04,3200000004,tutor04@familia.local,Tio
T260005,Estudiante Prueba 05,10,B,2011-05-05,Calle Prueba #5,3100000005,estudiante05@demo.colegio.local,Padre Prueba 05,3110000005,padre05@familia.local,Empleado,Madre Prueba 05,3120000005,madre05@familia.local,Hogar,,,,
T260006,Estudiante Prueba 06,11,C,2010-06-06,Calle Prueba #6,3100000006,estudiante06@demo.colegio.local,Padre Prueba 06,3110000006,padre06@familia.local,Empleado,Madre Prueba 06,3120000006,madre06@familia.local,Hogar,,,,
T260007,Estudiante Prueba 07,6,A,2015-07-07,Calle Prueba #7,3100000007,estudiante07@demo.colegio.local,Padre Prueba 07,3110000007,padre07@familia.local,Empleado,Madre Prueba 07,3120000007,madre07@familia.local,Hogar,,,,
T260008,Estudiante Prueba 08,7,B,2014-08-08,Calle Prueba #8,3100000008,estudiante08@demo.colegio.local,Padre Prueba 08,3110000008,padre08@familia.local,Empleado,Madre Prueba 08,3120000008,madre08@familia.local,Hogar,Tutor Prueba 08,3200000008,tutor08@familia.local,Tio
T260009,Estudiante Prueba 09,8,C,2013-09-09,Calle Prueba #9,3100000009,estudiante09@demo.colegio.local,Padre Prueba 09,3110000009,padre09@familia.local,Empleado,Madre Prueba 09,3120000009,madre09@familia.local,Hogar,,,,
T260010,Estudiante Prueba 10,9,A,2012-10-10,Calle Prueba #10,3100000010,estudiante10@demo.colegio.local,Padre Prueba 10,3110000010,padre10@familia.local,Empleado,Madre Prueba 10,3120000010,madre10@familia.local,Hogar,,,,
T260011,Estudiante Prueba 11,10,B,2011-11-11,Calle Prueba #11,3100000011,estudiante11@demo.colegio.local,Padre Prueba 11,3110000011,padre11@familia.local,Empleado,Madre Prueba 11,3120000011,madre11@familia.local,Hogar,,,,
T260012,Estudiante Prueba 12,11,C,2010-12-12,Calle Prueba #12,3100000012,estudiante12@demo.colegio.local,Padre Prueba 12,3110000012,padre12@familia.local,Empleado,Madre Prueba 12,3120000012,madre12@familia.local,Hogar,Tutor Prueba 12,3200000012,tutor12@familia.local,Tio
T260013,Estudiante Prueba 13,6,A,2015-01-13,Calle Prueba #13,3100000013,estudiante13@demo.colegio.local,Padre Prueba 13,3110000013,padre13@familia.local,Empleado,Madre Prueba 13,3120000013,madre13@familia.local,Hogar,,,,
T260014,Estudiante Prueba 14,7,B,2014-02-14,Calle Prueba #14,3100000014,estudiante14@demo.colegio.local,Padre Prueba 14,3110000014,padre14@familia.local,Empleado,Madre Prueba 14,3120000014,madre14@familia.local,Hogar,,,,
T260015,Estudiante Prueba 15,8,C,2013-03-15,Calle Prueba #15,3100000015,estudiante15@demo.colegio.local,Padre Prueba 15,3110000015,padre15@familia.local,Empleado,Madre Prueba 15,3120000015,madre15@familia.local,Hogar,,,,
